school,subject,criterion,by_all,by_year,by_gender,by_ethnicity,students,achievement,total
Cannons Creek,Reading,After 1 year at school,false,true,false,false,3.0,Well below,21
Cannons Creek,Reading,After 1 year at school,false,true,false,false,3.0,Below,21
Cannons Creek,Reading,After 1 year at school,false,true,false,false,11.0,At,21
Cannons Creek,Reading,After 1 year at school,false,true,false,false,4.0,Above,21
Cannons Creek,Reading,After 2 years at school,false,true,false,false,1.0,Well below,30
Cannons Creek,Reading,After 2 years at school,false,true,false,false,1.0,Below,30
Cannons Creek,Reading,After 2 years at school,false,true,false,false,11.0,At,30
Cannons Creek,Reading,After 2 years at school,false,true,false,false,17.0,Above,30
Cannons Creek,Reading,After 3 years at school,false,true,false,false,0.0,Well below,25
Cannons Creek,Reading,After 3 years at school,false,true,false,false,5.0,Below,25
Cannons Creek,Reading,After 3 years at school,false,true,false,false,4.0,At,25
Cannons Creek,Reading,After 3 years at school,false,true,false,false,16.0,Above,25
Cannons Creek,Reading,End of Year 4,false,true,false,false,1.0,Well below,18
Cannons Creek,Reading,End of Year 4,false,true,false,false,7.0,Below,18
Cannons Creek,Reading,End of Year 4,false,true,false,false,7.0,At,18
Cannons Creek,Reading,End of Year 4,false,true,false,false,3.0,Above,18
Cannons Creek,Reading,End of Year 5,false,true,false,false,4.0,Well below,26
Cannons Creek,Reading,End of Year 5,false,true,false,false,11.0,Below,26
Cannons Creek,Reading,End of Year 5,false,true,false,false,9.0,At,26
Cannons Creek,Reading,End of Year 5,false,true,false,false,2.0,Above,26
Cannons Creek,Reading,End of Year 6,false,true,false,false,4.0,Well below,25
Cannons Creek,Reading,End of Year 6,false,true,false,false,13.0,Below,25
Cannons Creek,Reading,End of Year 6,false,true,false,false,5.0,At,25
Cannons Creek,Reading,End of Year 6,false,true,false,false,3.0,Above,25
Cannons Creek,Writing,After 1 year at school,false,true,false,false,4.0,Well below,21
Cannons Creek,Writing,After 1 year at school,false,true,false,false,7.0,Below,21
Cannons Creek,Writing,After 1 year at school,false,true,false,false,9.0,At,21
Cannons Creek,Writing,After 1 year at school,false,true,false,false,1.0,Above,21
Cannons Creek,Writing,After 2 years at school,false,true,false,false,1.0,Well below,30
Cannons Creek,Writing,After 2 years at school,false,true,false,false,10.0,Below,30
Cannons Creek,Writing,After 2 years at school,false,true,false,false,16.0,At,30
Cannons Creek,Writing,After 2 years at school,false,true,false,false,3.0,Above,30
Cannons Creek,Writing,After 3 years at school,false,true,false,false,2.0,Well below,25
Cannons Creek,Writing,After 3 years at school,false,true,false,false,13.0,Below,25
Cannons Creek,Writing,After 3 years at school,false,true,false,false,8.0,At,25
Cannons Creek,Writing,After 3 years at school,false,true,false,false,2.0,Above,25
Cannons Creek,Writing,End of Year 4,false,true,false,false,3.0,Well below,18
Cannons Creek,Writing,End of Year 4,false,true,false,false,11.0,Below,18
Cannons Creek,Writing,End of Year 4,false,true,false,false,3.0,At,18
Cannons Creek,Writing,End of Year 4,false,true,false,false,1.0,Above,18
Cannons Creek,Writing,End of Year 5,false,true,false,false,6.0,Well below,26
Cannons Creek,Writing,End of Year 5,false,true,false,false,18.0,Below,26
Cannons Creek,Writing,End of Year 5,false,true,false,false,1.0,At,26
Cannons Creek,Writing,End of Year 5,false,true,false,false,1.0,Above,26
Cannons Creek,Writing,End of Year 6,false,true,false,false,6.0,Well below,25
Cannons Creek,Writing,End of Year 6,false,true,false,false,11.0,Below,25
Cannons Creek,Writing,End of Year 6,false,true,false,false,7.0,At,25
Cannons Creek,Writing,End of Year 6,false,true,false,false,1.0,Above,25
Cannons Creek,Maths,After 1 year at school,false,true,false,false,3.0,Well below,21
Cannons Creek,Maths,After 1 year at school,false,true,false,false,2.0,Below,21
